,heure,solaire,eolien,nucleaire,hydraulique,gaz,imports
158,2024-01-07 14:00:00,0.19979893143845143,0.39078893371227924,0.8,1.0,0.9,1.0
159,2024-01-07 15:00:00,0.15872124139079938,0.4029437845798552,0.8,1.0,0.9,1.0
160,2024-01-07 16:00:00,0.09871301125700215,0.4071351124652262,0.8,1.0,0.9,1.0
161,2024-01-07 17:00:00,0.03807200541001899,0.4227478088382332,0.8,1.0,0.9,1.0
162,2024-01-07 18:00:00,0.013973796999522203,0.44559054581350516,0.8,1.0,0.9,1.0
163,2024-01-07 19:00:00,0.0,0.48608925150590254,0.8,1.0,0.9,1.0
164,2024-01-07 20:00:00,0.0,0.5222394545172274,0.8,1.0,0.9,1.0
165,2024-01-07 21:00:00,0.0,0.5422006535713069,0.8,1.0,0.9,1.0
166,2024-01-07 22:00:00,0.0,0.5640479501738033,0.8,1.0,0.9,1.0
167,2024-01-07 23:00:00,0.0,0.5533600640661072,0.8,1.0,0.9,1.0
168,2024-01-08 00:00:00,0.0,0.5568703011701054,0.8,1.0,0.9,1.0
169,2024-01-08 01:00:00,0.0,0.5382712836787715,0.8,1.0,0.9,1.0
170,2024-01-08 02:00:00,0.0,0.5321938582449837,0.8,1.0,0.9,1.0
171,2024-01-08 03:00:00,0.0,0.5328749490263563,0.8,1.0,0.9,1.0
172,2024-01-08 04:00:00,0.0,0.5305697186894024,0.8,1.0,0.9,1.0
173,2024-01-08 05:00:00,0.0,0.5325082078363864,0.8,1.0,0.9,1.0
174,2024-01-08 06:00:00,0.0,0.5523122320947644,0.8,1.0,0.9,1.0
175,2024-01-08 07:00:00,0.0,0.5612188038511778,0.8,1.0,0.9,1.0
176,2024-01-08 08:00:00,0.013077364739175498,0.5657768729265188,0.8,1.0,0.9,1.0
177,2024-01-08 09:00:00,0.019405121871034606,0.5379045424888016,0.8,1.0,0.9,1.0
178,2024-01-08 10:00:00,0.05652796371127473,0.5042691362086993,0.8,1.0,0.9,1.0
